Class,MethodName,Complexity,Statements,MaximumDepth,Calls
,get_hm_parameters(),2,11,2,12
,get_hm_control_endpoints(),3,8,3,11
,get_geometry_parameters(),4,13,4,27
,get_fcm_endpoints(),2,5,2,7
,get_dump_suffix(),1,8,1,14
QueueHandler,get(),2,5,3,5
GenericResponse,GenericResponse(),1,0,0,0
Log,FromString(),5,9,3,1
,FromString(),5,9,2,0
SimpleBuffer,FreeBuf(),1,1,2,0
Hit,frameHeader(),1,1,2,0
Hit,frameHeader(),1,1,2,0
,formatTimeForFilename(),1,5,1,8
DetectorGeometry,floors(),1,1,2,0
DetectorGeometry,floors(),1,1,2,0
Floor,Floor(),1,2,2,2
TTSBuild,FindOldestHit(),7,9,3,4
TTSBuild,FindL1(),16,47,6,24
TTSBuild,FinalizeTriggeredEvent(),2,18,2,9
PtFile,finalise(),1,4,1,5
FinalEvent,FinalEvent(),1,0,0,0
,fillTeh(),1,7,1,8
FileWriter,FileWriter(),1,0,0,0
PtFileReader,fileSize(),1,1,2,0
PtFileReader,fileNumber(),1,1,2,0
PtFile,fileNumber(),1,1,2,0
EM,fileMaxSize(),1,1,2,0
EM,fileMaxSize(),1,1,2,0
FcmEndpoint,FcmEndpoint(),1,0,0,0
CommandResult,exit_status(),1,2,2,1
,exec(),2,5,2,11
Exception,Exception(),1,0,0,0
Event,eventTag(),1,1,2,0
EventMessage,EventMessage(),1,0,0,0
EventCollector,EventCollector(),1,0,0,0
Event,Event(),1,1,2,0
Event,Event(),1,0,0,0
PopenFailed,error(),1,1,3,0
PcloseFailed,error(),1,1,3,0
Floor,erase_pmt(),1,1,2,2
Tower,erase_floor(),1,1,2,2
FcmEndpoints,erase_endpoint(),2,4,3,4
TCPU,endpoints(),1,1,2,0
TCPU,endpoints(),1,1,2,0
HM,endpoints(),1,1,2,0
HM,endpoints(),1,1,2,0
Endpoint,Endpoint(),1,0,0,0
Tower,end(),1,1,2,1
Tower,end(),1,1,2,1
TimeSlice,end(),1,1,2,1
TimeSlice,end(),1,1,2,1
SimpleBuffer,end(),1,1,2,0
SimpleBuffer,end(),1,1,2,0
PtFileReader,end(),1,1,2,2
PtFileReader,end(),1,1,2,2
Hit,end(),1,1,2,1
Hit,end(),1,1,2,1
Floor,end(),1,1,2,1
Floor,end(),1,1,2,1
Event,end(),1,1,2,1
Event,end(),1,1,2,1
QueueHandler,empty(),1,2,2,2
EM,EM(),1,0,0,0
TowerTimeSlice,DumpTTS(),1,1,1,1
SectorTimeSlice,DumpSTS(),1,3,1,4
HM,dumpMaxSize(),1,1,2,0
HM,dumpMaxSize(),1,1,2,0
SimpleBuffer,DumpLoad(),1,3,1,2
HM,dumpFlag(),1,1,2,0
HM,dumpFlag(),1,1,2,0
HM,dumpFilenamePrefix(),1,1,2,0
HM,dumpFilenamePrefix(),1,1,2,0
TowerTimeSlice,DumpAllBuffers(),3,4,3,2
SectorTimeSlice,DumpAllBuffers(),3,4,3,1
,dump_on_file(),3,9,2,8
,dummy_geometry(),1,4,1,2
,dispatch_request(),1,1,1,1
Shell,disconnect(),3,13,2,13
,disconnect(),2,5,2,10
DetectorGeometry,DetectorGeometry(),1,0,0,0
InternalSwParameters,deltaTs(),1,1,2,0
InternalSwParameters,deltaTs(),1,1,2,0
,day_comparator(),1,6,1,8
EM,dataPort(),1,1,2,0
EM,dataPort(),1,1,2,0
TcpuEndpoint,dataHost(),1,1,2,0
TcpuEndpoint,dataHost(),1,1,2,0
EM,dataHost(),1,1,2,0
EM,dataHost(),1,1,2,0
,dataframeheader_cast(),1,1,1,0
,dataframeheader_cast(),1,1,1,0
,dataframeheader_cast(),1,1,1,0
,dataframeheader_cast(),1,1,1,0
,dataframeheader_cast(),1,1,1,0
,dataframeheader_cast(),1,1,1,0
,dataframeheader_cast(),1,1,1,0
,dataframeheader_cast(),1,1,1,0
DataFrameHeader,DataFrameHeader(),1,0,0,0
DataFrameHeader,DataFrameHeader(),1,0,0,0
PtFileReader,datacardSize(),1,1,2,0
TSC,datacardShareddir(),1,1,2,0
TSC,datacardShareddir(),1,1,2,0
,datacard_shareddir_makes_sense(),1,1,1,4
PtFileReader,datacard(),1,1,2,2
PMT,cz(),1,1,2,0
PMT,cz (),1,1,2,0
PMT,cy(),1,1,2,0
PMT,cy (),1,1,2,0
PMT,cx(),1,1,2,0
PMT,cx (),1,1,2,0
StateMachine,currentState(),1,3,1,2
SimpleBuffer,current(),1,1,2,0
SimpleBuffer,current(),1,1,2,0
SimpleBuffer,current(),1,3,2,2
Monitor,ctrlPort(),1,1,2,0
Monitor,ctrlPort(),1,1,2,0
TSV,ctrlHost(),1,1,2,0
TSV,ctrlHost(),1,1,2,0
TcpuEndpoint,ctrlHost(),1,1,2,0
TcpuEndpoint,ctrlHost(),1,1,2,0
Monitor,ctrlHost(),1,1,2,0
Monitor,ctrlHost(),1,1,2,0
HmEndpoint,ctrlHost(),1,1,2,0
HmEndpoint,ctrlHost(),1,1,2,0
EM,ctrlHost(),1,1,2,0
EM,ctrlHost(),1,1,2,0
,create_run_number_file(),4,11,3,18
Shell,create(),1,1,1,2
TriggeredEvent,CountHitInPMT(),3,12,3,3
SimpleObservable,count(),1,1,2,0
RunningAvgObservable,count(),1,1,2,1
AvgObservable,count(),1,1,2,1
TriggeredEvent,CopyToBuffer(),5,10,4,2
SimpleBuffer,CopyData(),2,10,2,6
,convert_event(),5,36,3,42
,convert(),4,14,4,21
Controller,Controller(),1,0,0,0
Context,Context(),1,0,0,0
BaseEvent,context(),1,1,2,0
Consumer,Consumer(),1,0,0,0
const_iterator,const_iterator(),1,0,0,0
const_iterator,const_iterator(),1,0,0,0
const_iterator,const_iterator(),1,0,0,0
Connection,Connection(),1,0,0,0
StreamReceiver,connect(),2,3,3,1
,connect(),2,5,2,11
TTSBuild,ConfigureVectors(),7,17,4,8
ConfigureResponse,ConfigureResponse(),1,0,0,0
ConfigureRequest,ConfigureRequest(),1,0,0,0
TTSBuild,ConfigureHitBuffers(),9,30,6,17
ConfigureEvent,ConfigureEvent(),1,0,0,0
Configured_,Configured_(),1,0,0,0
StateMachine,configure(),1,2,1,3
configuration_error,configuration_error(),1,0,0,0
TriggeredEvent,ComputeDataSize(),3,5,3,1
TTSMessage,computationTime(),1,2,1,1
,compressed(),1,1,1,0
TowerTimeSlice,completed(),3,4,3,1
CommandResult,CommandResult(),1,0,0,0
CommandGenerator,CommandGenerator(),1,0,0,0
Command,command_line(),1,1,2,0
Command,Command(),1,1,2,1
Command,Command(),1,0,0,0
PMTHit,CloneTime(),1,1,1,1
,clear_nodes(),1,1,1,2
,clear(),1,1,1,1
TriggeredEvent,CheckReset(),4,4,3,0
TTSBuild,CheckRandomTrigger(),3,15,3,8
,checkPMTId(),2,4,2,2
TriggeredEvent,CheckPMTHitConsistency(),4,7,3,1
,checkFloorRange(),3,7,2,2
SectorTimeSlice,CheckEmptiness(),3,4,3,2
TrigSkyAlgo,checkCorrelation(),1,13,1,10
,cat(),2,9,2,6
SimpleBuffer,CapacityLeft(),1,1,2,0
Calibration,Calibration(),1,0,0,0
TTSMessage,buildingTime(),1,2,1,1
SimpleBuffer,BufferIsFull(),1,1,2,1
Tower,begin(),1,1,2,1
Tower,begin(),1,1,2,1
TimeSlice,begin(),1,1,2,1
TimeSlice,begin(),1,1,2,1
SimpleBuffer,begin(),1,1,2,0
SimpleBuffer,begin(),1,1,2,0
PtFileReader,begin(),1,1,2,1
PtFileReader,begin(),1,1,2,1
Hit,begin(),1,1,2,1
Hit,begin(),1,1,2,1
Floor,begin(),1,1,2,1
Floor,begin(),1,1,2,1
Event,begin(),1,1,2,1
Event,begin(),1,1,2,1
,basename(),2,4,1,7
Log,BaseLevel(),1,1,2,1
BaseEvent,BaseEvent(),1,0,0,0
TCPU,baseDataPort(),1,1,2,0
TCPU,baseDataPort(),1,1,2,0
TCPU,baseCtrlPort(),1,1,2,0
TCPU,baseCtrlPort(),1,1,2,0
HM,baseCtrlPort(),1,1,2,0
HM,baseCtrlPort(),1,1,2,0
AvgObservable,AvgObservable(),1,4,2,4
HitGenerator,at(),1,1,1,1
HitGenerator,at(),1,1,1,1
,async_reconnect(),3,4,3,5
Shell,async_exec(),1,5,1,8
Shell,async_exec(),1,3,1,4
,async_exec(),1,1,1,1
Shell,async_connect(),1,2,1,2
Shell,async_connect(),1,3,1,4
,async_connect(),1,1,1,1
Assemblatore,Assemblatore(),1,0,0,0
,analyse(),2,7,2,5
EventCollector,alloc_trig_event(),2,4,2,5
,all_successful(),1,1,1,1
,age(),1,2,1,5
TTSAssembler,addSts(),8,30,3,27
TowerTimeSlice,AddSTS(),1,4,1,4
Spedizioniere,addSts(),10,28,4,24
Assemblatore,addSts(),3,11,2,8
PMTHit,addSeed(),1,1,2,0
SectorTimeSlice,AddPMTBuf(),2,7,2,2
TTSAssembler,addEmptyTts(),1,2,1,2
Floor,add_pmt(),1,1,2,1
Tower,add_floor(),1,1,2,3
TcpuEndpoints,add_endpoint(),3,5,3,6
TcpuEndpoints,add_endpoint(),1,3,2,3
HmEndpoints,add_endpoint(),3,5,3,6
HmEndpoints,add_endpoint(),1,3,2,3
FcmEndpoints,add_endpoint(),1,2,2,2
FcmEndpoints,add_endpoint(),2,3,3,3
Plugins,add(),3,5,4,6
Standby,accept(),1,1,4,1
Running,accept(),1,2,5,1
Ready,accept(),1,1,5,1
Initiated_,accept(),1,2,3,0
Idle,accept(),1,1,3,1
Configured_,accept(),1,2,4,0
BaseState,accept(),1,0,0,0
